최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,구독자수,한국채널추정여부,최근평균조회수,최근평균참여율,최근라이브비율,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,최종점수,액션버킷,치지직활동여부,SOOP활동여부,타플랫폼활동여부,최종제외여부,최근30일_업로드수,최근30일_평균조회수,최근30일_평균참여율,최근30일_라이브비율,직전30일_업로드수,직전30일_평균조회수,직전30일_평균참여율,직전30일_라이브비율,최근7일_업로드수,최근7일_평균조회수,최근7일_평균참여율,최근7일_라이브비율,직전7일_업로드수,직전7일_평균조회수,직전7일_평균참여율,직전7일_라이브비율,30일_조회수성장률,30일_참여율성장률,30일_업로드수성장률,30일_라이브비율차이,7일_조회수성장률,7일_참여율성장률,7일_업로드수성장률,7일_라이브비율차이,성장성수집영상수,30일_조회수성장률_pct,30일_참여율성장률_pct,30일_업로드수성장률_pct,7일_조회수성장률_pct,7일_참여율성장률_pct,성장성점수_proxy_raw,성장성신뢰도,성장성점수_proxy,성장성신뢰도등급
36,UCpa8D5uitbwy5iYKvHuxZPw,희자매,,서브컬쳐게임,11800.0,1,2381.0,0.0044918468378199,0.0,0.6850514069264069,,0.952922077922078,0.5857683982683982,1.0,0.7964781746031746,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
37,UCoUIdGoAPCzOqjVwW04WUhA,숏필름 프로덕션 (ShortFilm Production),음악·보이스형,커버,1440.0,1,1009.6666666666666,0.0010221774190132,0.0,0.6516639610389611,,0.985930735930736,0.5857683982683982,1.0,0.7963519119769119,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
38,UCWP66aPA8tkeExuXr07rpkg,중랑방송,창작·비주얼형,일러스트리깅,7340.0,1,226.0,0.0,0.0,0.6345102813852814,,0.9970238095238096,0.5857683982683982,1.0,0.79433170995671,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
39,UCuXBoGY4L2b3V0zPCH3Lc_g,코메 Comet,음악·보이스형,성우더빙,1470.0,1,1089.0,0.014232618820067,0.0,0.8467938311688312,,0.7840909090909091,0.5857683982683982,1.0,0.7941152597402596,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
40,UCl3BeouApLS6n1gCIbUsaiw,케이팝러버스클럽,,커버기타,3050.0,1,1128.6666666666667,0.0081882036508371,0.0,0.7270021645021645,,0.900974025974026,0.5857683982683982,1.0,0.7931457431457432,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
41,UCsdB5CIjdlix3E5gtsRkEQw,The Natsu,,기타 연주,2150.0,1,730.3333333333334,0.0085994446748582,0.0,0.7339962121212121,,0.8928571428571429,0.5857683982683982,1.0,0.7927714646464646,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
42,UCbln7xUpX1e3m7f78L1SjkA,JWT,음악·보이스형,애니송커버,1900.0,1,854.6666666666666,0.0016287818884617,0.0,0.6448998917748918,,0.981060606060606,0.5857683982683982,1.0,0.7924738455988455,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
43,UCCokDgS9629SKiJxwNEPPmQ,라면땅,창작·비주얼형,코스프레,1050.0,1,1621.0,0.0105045390580153,0.0,0.7636093073593073,,0.8587662337662337,0.5857683982683982,1.0,0.7912788600288599,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
44,UCVF2BDqI5JOUUN5cnwXru3A,달달 손글씨,음악·보이스형,ASMR보이스,2170.0,1,601.3333333333334,0.009475149599964,0.0,0.7434117965367966,,0.8787878787878788,0.5857683982683982,1.0,0.7912202380952381,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
45,UCDY--iSN5L4E-jHbltt1WFA,Heniverse 심혜린의 언어와 마음,음악·보이스형,성우더빙,1460.0,1,1212.0,0.0010588915115964,0.0,0.6370535714285714,,0.9848484848484848,0.5857683982683982,1.0,0.7911210317460317,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
46,UCY1AODHaM_e7bbMVD7YIraA,정네짱,음악·보이스형,ASMR보이스,2750.0,1,2338.5,0.00957478462129,0.0,0.745603354978355,,0.8760822510822511,0.5857683982683982,1.0,0.7910488816738815,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
47,UCv1xK5QOP2DzW9XIGbXDtGA,1일1곡,음악·보이스형,보컬로이드JPOP커버,1280.0,1,143.5,0.0034843205574912,0.5,0.937486471861472,,0.9653679653679652,0.1049783549783549,1.0,0.7886138167388167,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
48,UCGZc0-gh8OgaEOLgHx9etCA,딜사이트,음악·보이스형,성우,17200.0,1,699.0,0.0090541801645915,0.0,0.7264339826839826,,0.8869047619047619,0.5857683982683982,1.0,0.7882665945165944,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
49,UCrhTqv3LmsJt8ve2X5-I1TQ,예윤(yeyoon),음악·보이스형,애니송커버,1450.0,1,308.6666666666667,0.0161545488208697,0.0,0.8723484848484848,,0.7397186147186147,0.5857683982683982,1.0,0.7878427128427128,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
50,UCcF7U5hVj9S-R2nZiS9KUDg,ASMR ZUZU,음악·보이스형,ASMR,1260.0,1,5028.666666666667,0.0022308212923578,0.0,0.627827380952381,,0.9772727272727272,0.5857683982683982,1.0,0.7855203823953824,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
51,UCp76m6Geneu-5SDNdAq_bhA,썰볼래?,버츄얼 퍼포먼스형,버튜버,1070.0,1,2389.5,0.0136972321469903,0.0,0.8060200216450217,,0.7965367965367965,0.5857683982683982,1.0,0.784672619047619,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
52,UCo_ElhrCDfIk4213iFDcmJg,라라쇼핑,,음악기타,2950.0,1,831.0,0.0132086196331472,0.0,0.7883658008658009,,0.8095238095238095,0.5857683982683982,1.0,0.783116883116883,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
53,UC912WTCWKwwPzw6XayfVXTQ,내츄럴본덕후,음악·보이스형,애니송커버,14200.0,1,3090.0,0.0022968345833507,0.0,0.6203733766233767,,0.9761904761904762,0.5857683982683982,1.0,0.7826749639249639,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
54,UCqSbTiwViFanrgC4AdWzWMA,보이스큐브,음악·보이스형,ASMR보이스,1370.0,1,3295.333333333333,0.0050252530908861,0.0,0.6466314935064935,,0.948051948051948,0.5857683982683982,1.0,0.7820481601731601,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
55,UCGFSV2rylvq1cIgsPhp96Yg,카톡해,창작·비주얼형,코스프레,9260.0,1,583.2,0.0137313493027709,0.0,0.7968749999999999,,0.7954545454545454,0.5857683982683982,1.0,0.7812635281385281,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
56,UCNxRn3cEy0SolmZ3kiMtJYw,South korean 엘리베이터,음악·보이스형,ASMR보이스,1220.0,1,331.3333333333333,0.0098519176170833,0.0,0.7181953463203463,,0.8717532467532467,0.5857683982683982,1.0,0.7804698773448773,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
57,UCN3TF3sFGX6wo2HxLIz95Ag,율오YURO,음악·보이스형,애니송커버,6370.0,1,2767.5,0.0086659559738385,0.0,0.6960903679653679,,0.8923160173160173,0.5857683982683982,1.0,0.7799558080808081,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
58,UCZyNpAX7fhdWkTGkylWt6Ow,stell 키리눅희,버츄얼 퍼포먼스형,버튜버,1050.0,1,1023.0,0.0173110371557308,0.0,0.8776109307359307,,0.7094155844155844,0.5857683982683982,1.0,0.7794958513708513,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
59,UCPDyH2gBCrg1YUdqnYptNiA,커피한잔,음악·보이스형,ASMR보이스,1090.0,1,20074.7,0.0069648947274324,0.0,0.6618912337662337,,0.9247835497835498,0.5857683982683982,1.0,0.7793786075036074,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
60,UCHRk2BAzHdGFwoXVhyfFuAA,이 리,음악·보이스형,ASMR보이스,1200.0,1,4759.4,0.0119151123694739,0.0,0.7500676406926406,,0.8338744588744589,0.5857683982683982,1.0,0.7784677128427128,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
61,UCQjaQ2Nta3i9ZpuHWOhLhHg,꾸,음악·보이스형,애니송커버,3880.0,1,1792.0,0.0103653722239462,0.0,0.7162878787878788,,0.8630952380952381,0.5857683982683982,1.0,0.7769480519480519,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
62,UCQN70smCvLLa0HkT9TcXnMg,킴츄츄추,음악·보이스형,ASMR보이스,1360.0,1,1571.5,0.0155430993708735,0.0,0.820995670995671,,0.7532467532467533,0.5857683982683982,1.0,0.7752344877344877,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
63,UCe-_vWdZiJRZioLqOTQs7WA,[ 유튜버 ] ETK로제,,서브컬쳐게임,1400.0,1,793.5,0.0006345177664974,0.5,0.8704274891774892,,0.9886363636363636,0.1049783549783549,1.0,0.7740169552669552,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
64,UCRNWmeShukC6OIBKOBS_Rwg,퀴즈탐구생활,창작·비주얼형,일러스트리깅,15900.0,1,2159.0,0.0038308763411167,0.0,0.6057359307359308,,0.9621212121212122,0.5857683982683982,1.0,0.7731060606060606,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
65,UCMfYouxtt6_8KNpEz4WWqLA,예송이비인후과음성센터 (예송음성센터),음악·보이스형,ASMR보이스,2690.0,1,1223.0,0.0040013346680013,0.0,0.6871347402597403,,0.9594155844155844,0.5857683982683982,0.8,0.7726704545454547,제외,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
66,UCit2oUSAmvOs3Mz18gRlLvQ,ALL AI IVIDS,창작·비주얼형,코스프레,1610.0,1,578.6,0.0152883727108445,0.0,0.8039231601731602,,0.7602813852813853,0.5857683982683982,1.0,0.7718885281385282,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
67,UCN8mGP_IQ9_sauAM-421dIg,생활과정보 Info and Life,버츄얼 퍼포먼스형,버튜버,1220.0,1,45556.0,0.0053859601018567,0.0,0.6159767316017316,,0.9437229437229436,0.5857683982683982,1.0,0.7703869047619047,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
68,UCUN44wQgbMg-EBYBaKrv7jw,Reyun(리윤),창작·비주얼형,코스프레,2070.0,1,1378.6666666666667,0.0138289214308416,0.0,0.7661255411255411,,0.7932900432900433,0.5857683982683982,1.0,0.7702922077922078,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
69,UCE21NJhiEhIbDJP_23MTnag,Mr. Kevin (미스터케빈),음악·보이스형,애니송커버,11700.0,1,1972.8,0.0032283161769987,0.0,0.5862959956709957,,0.9680735930735932,0.5857683982683982,1.0,0.7686102092352093,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
